,respondent,task,interval,time,company,purpose,detail,description,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
132,29,1,2s,118.0,Whistle,"Sustainable fashion for men, women, and children.",No idea - I was not able to take that in.,"It was very clean looking with limited information, pictures, and colours. This made it easy to scan quickly and take in most things that were on the page (at least in general). There was a men's, women's, and children's section all of which were linked in the biggest bottom part of the page. The logo was in the top left corner and across the top of the page there seemed to be a menu of sorts. ",7.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,False
133,29,2,2s,123.0,Don't know.,Eyewear (including contacts),2?,"I tried to look more at the main body of the page and so didn't take in the top (including the name and logo). The main body featured a large picture of what I think were 2 children, or 1 child and 1 adult hugging. I think they were wearing sunglasses and I think my first instinct was that this was a travel website until I looked the categories below the big picture which included glasses and contacts - then I got really confused and then my time was up.",3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,2.0,4.0,False
134,29,3,2s,114.0,Hillwear,Outdoor clothing and equipment,Don't know.,"The page had a big tiger in the middle. Again, there was a menu across the top, with at the bottom of the page various options for direct categories - the first of which was clothing. The page was primarily in blue and red and featured pictures of mountains (I think) indicating the outdoorsiness of the brand and its products.",6.0,5.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,5.0,False
135,29,4,2s,110.0,Weathery,It gives weather information,I think maybe Thursday? But I'm not sure why I think that. ,The page had the logo in the top left followed by a menu across the top of the page. On the left of the page was a map with the weather depicted with standard weather symbols - quite a few suns! On the right were links to subpages as well as temperature (I think) predictions for the rest of the week.,6.0,5.0,7.0,4.0,6.0,4.0,2.0,6.0,6.0,4.0,False
136,29,5,2s,119.0,Mega Zoo,"Animal food (I think), at least animal related products",No idea - was only able to look at the top of the web page. ,It was quite colourful with various pictures of different animals including a rooster. The logo was in the top left and looked a bit cheap. It wasn't clear from the 2 second viewing whether they sold various animal products or just animal food. There was also a menu at the top with some offers I think spread across the page. ,3.0,3.0,5.0,3.0,5.0,2.0,1.0,5.0,5.0,5.0,False
137,29,6,2s,226.0,Tech-live,Tech news,Not sure,It looked like a news website with various articles with headlines and accompanying pictures for every news article. The articles all seemed to be related to technology - I saw some pictures and articles that looked more like clickbait with others seemingly related to crypto. It was quite full overall and there didn't seem to be much structure to the page.,5.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,False
138,30,1,2s,65.0,whilstles,Sustainable clothing,dont know,Sells sustainable clothing for all ages and genders,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,False
139,30,2,2s,66.0,i-care,Eye wear,4??,Sells eye wear for different occasions,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,6.0,False
140,30,3,2s,93.0,hillsport,Hiking equipment???,dont know,Big leopard on front page,3.0,5.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,False
141,30,4,2s,95.0,weathery,Shows the weather,Thursday,Quite cheap however has useful information,4.0,2.0,5.0,2.0,7.0,1.0,2.0,5.0,5.0,2.0,False
142,30,5,2s,130.0,Mega zoo,Stuff for pets,dont know,Quite cheap gives vibes of shops which always say they have big discounts and sales,5.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,False
143,30,6,2s,67.0,tech live,Shows articles about current tech news,battery farm,Quite clearn layout however is abit too crowded,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,False
144,31,1,2s,148.0,whistles,clothing ,panda?,"very simple looking page with a male, female and younger child, there was a logo and name in the top left corner Whistles this wasnt the easiest to read, the colours were blue and yellow, yellow being very dominent, at the bottom looked like the 3 catagories you would be able to click on ",6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,False
145,31,2,2s,153.0,i-care,glasses,2,"holiday seen in the top left picture, looked like they were sellign sunglasses, very light looking website, there were 3 large boxes below which looked like they could be clicked on, I-care logo at the top left of the page ",6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,False
146,31,3,2s,137.0,hillspot ,outdoor clothing ,2021????,"hillspot name in the top left corner, a large leopard or cheetah dominent picture, then 4 boxes towards the bottom with clothing, footwear and 2 other options to click on. ",5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,False
147,31,4,2s,119.0,weathery ,provides weather forecasting ,monday?,"blue being the dominent colour, a large map of the US with the local weathers, down the right hand side looked like the weekly forecast ",3.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,False
148,31,5,2s,124.0,mega zoo ,food ,circle ,"red circle and lots of yellow, 4 items in a row that were for sale ",5.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,False
149,31,6,2s,158.0,tech live,"unknown, lots of writing, the page looked very chaotic ",unsure exactly what it was looked like some sort of white building. ,"the page had lots of small writing all over the page with a large picture at the top and some sort of article underneath, it was very chaotic in its layout and not very easy to view ",1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,False
150,32,1,2s,49.0,whistles,sustainable fashion,Monkey,Images of people in items for sale on the website,5.0,3.0,4.0,6.0,3.0,4.0,5.0,5.0,5.0,4.0,False
151,32,2,2s,64.0,i-care,Sunglasses/contact lenses for holidays,1,Number of images advertising either sun glasses or contact lenses ,5.0,3.0,5.0,4.0,6.0,2.0,5.0,4.0,3.0,5.0,False
152,32,3,2s,67.0,hillsport,Sporting gear,Picture of a cheetah ,"Lots of separate images, not much text, big cheetah and some pictures of mountain/sports",6.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,False
153,32,4,2s,74.0,Weathery,Weather forecast,Tuesday,"Weather forecast website, with a central European forecast with varius temperatures",5.0,3.0,5.0,4.0,7.0,4.0,3.0,5.0,6.0,4.0,False
154,32,5,2s,56.0,mega zoo,Pet food/equipment,A animated tiger,A number of items for sale,5.0,3.0,5.0,4.0,5.0,3.0,4.0,6.0,5.0,4.0,False
155,32,6,2s,57.0,tech-live,Technology reviews,A woman looking at a phone acting surprised,Tech review website with lots of tech review articles,3.0,4.0,3.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,False
156,33,1,2s,132.0,Whistles,Clothing for Children and Adults,Hedgehog ,"Large image of child in t-shirt across the top then 3 categories on the bottom each with a picture showing mens, womens and kids clothing. ",7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,False
157,33,2,2s,114.0,I-Care,Eyewear,2,A family on the beach in the sun as well as a woman running and a couple together. All people had sunglasses on,6.0,6.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,6.0,False
158,33,3,2s,118.0,HillSport,Outdoor adventure clothing and apparel,2022,Large picture of wild cat next to some hikers. Different categories along the bottom,5.0,5.0,7.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,False
159,33,4,2s,94.0,Weathery,Weather information,Friday,"Map of forecast information for current day as well as a week breakdown, further information on the right side of the screen,",7.0,4.0,7.0,3.0,7.0,4.0,4.0,4.0,7.0,4.0,False
160,33,5,2s,143.0,Mega Zoo,Decorative garden ornaments,Bones,Images of products and and different categories along the top of the page. Big bright coloured text across the left side,6.0,2.0,6.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,False
161,33,6,2s,150.0,Tech Live,News website for technology related stories,Wind turbine,"Very wordy page with lots of articles, bright orange picture in the body of the website. List of articles at the right of the screen",2.0,2.0,6.0,3.0,7.0,5.0,1.0,3.0,4.0,1.0,False
162,34,1,2s,96.0,Whistles,Sells clothing,Duck,Clothing for a range of ages - had an image of an adult and child,5.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,False
163,34,2,2s,72.0,I care,Sells sunglasses,2,"Shop for sunglasses, advertised a range for vacation",4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,False
164,34,3,2s,89.0,Hillspot,Sells sport clothing,2022,"Illustration of a jaguar type animal, sells sport gear",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
165,34,4,2s,58.0,Weathery,Weather news,Wednesday,Forecast of weather,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,False
166,34,5,2s,68.0,Mega zoo,Animal food,Paws,"Yellow theme, shope for animal products",5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,False
167,34,6,2s,78.0,Tech live,Tech news,Server,News website,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,False
168,35,1,2s,76.0,Whistles,Sustainable fashion,pass,Clothing shop promoting sustainable fashion for women and children,6.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,4.0,False
169,35,2,2s,106.0,I-Care,"eyeware - glasses, contact lenses",2,"Page made up of different graphics. Central image and then smaller images for glasses, sunglasses and contact lenses",6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,False
170,35,3,2s,143.0,Hill Sport,Outdoor sporting goods,Don't know,Website for the sale of outdoor sports goods. Large graphic with cheetah or leopard. smaller boxes with different graphics representing different outdoor activities,5.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,False
171,35,4,2s,105.0,Pass,Weather forecasts,Thursday,Looked like a weather forecast web page. Large graphic in centre with map which showed rain.,4.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,4.0,False
172,35,5,2s,74.0,Mega zoo,pass,pass,unable to describe as it wasn't clear what was being offered,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,False
173,35,6,2s,86.0,Tech Live,Information on technology,forest,text down either side with graphic in the middle,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,False
174,36,1,2s,200.0,whistles,night clothes,a rabbit (i'm guessing),"there were pictures of a man, a woman, and a girl child. They were all wearing striped night clothes. ",6.0,5.0,6.0,5.0,6.0,5.0,1.0,5.0,6.0,4.0,False
175,36,2,2s,190.0,sport glasses,Glasses and contact lenses,Three. just a guess,"A large picture showing the text ready for the holidays. Three picture below for contact lenses, glasses, and something else, perhaps sunglasses",5.0,4.0,6.0,4.0,6.0,3.0,1.0,5.0,6.0,3.0,False
176,36,3,2s,196.0,"don't know, maybe leopard","outdoor clothes, backpacks, and boots.",No idea,"A picture of a leopard, smaller pictures of outdoor clothes, boots, and other stuff shown in an mountain walking settings",5.0,5.0,6.0,5.0,6.0,5.0,2.0,5.0,6.0,3.0,False
177,36,4,2s,135.0,weathery,Weather forecasts,no idea,"A map with blue weather symbols on it, showing the weather for that day.",6.0,5.0,7.0,6.0,7.0,6.0,4.0,6.0,7.0,5.0,False
178,36,5,2s,235.0,mega zoo,cheap garish tat.,No idea,"There were a large number of garish coloured, badly photographed cheap products, the sort of stuff street traders try to sell at haloween",3.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,False
179,36,6,2s,153.0,tech-live,Information about gadgets and technology,A power station,"There were a lot of pictures for a variety of stories, with a short summary for each story",3.0,3.0,5.0,3.0,6.0,3.0,2.0,4.0,5.0,2.0,False
180,37,1,2s,146.0,Sustainable fashion for everyone,Clothes - mostly womrns tops,panda ,"a number of models wearing bright tops , they looked approachable",4.0,4.0,7.0,3.0,6.0,4.0,4.0,6.0,4.0,2.0,False
181,37,2,2s,102.0,A spectacle company,Sunglasses,2,This showe parents and children in swimwear/holiday clothes wearing sunglasses,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,False
182,37,3,2s,139.0,Sports,Clothing for expeditions in the great outdoors,2020,"A large grey and white wild cat - maybe a cheetah, also pictures of shoes and backpacks and clothing",4.0,7.0,6.0,7.0,4.0,6.0,6.0,7.0,6.0,5.0,False
183,37,4,2s,109.0,Weather,Images of weather,Tuesday,Many charts about the weather,3.0,7.0,7.0,5.0,4.0,5.0,1.0,6.0,4.0,5.0,False
184,37,5,2s,125.0,Food company,food,Mega ,This had images of take away food in their cartons - some of which appeared to be recycleable,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,False
185,37,6,2s,118.0,An energy compay,storage,countryside,"A woman looking surprised/upset, a large white building",4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,False
186,38,1,2s,220.0,Whistles,"Sustainable fashion, for children and adults",Hedgehog,The web page was light in colour and had an airy feel about it. It showed a picture of a girl wearing a pale yellow t-shirt with a hedgehog on it.  Further down it looked like an adult wearing a similar t-shirt in pastel colours too.  ,6.0,7.0,6.0,7.0,5.0,7.0,6.0,7.0,7.0,6.0,False
187,38,2,2s,286.0,I-care,It sells glasses for different scenarios such as sport and vacation,I don't know,"It was light and bright in colour,  I could see there were different people wearing glasses.  I also read captions that said 'ready for vacation' and 'sport glasses' The web page wasn't too overcrowded so I could take more of it in ",5.0,6.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,False
188,38,3,2s,368.0,Hillsport,"I think it's sporting equipment, only because it said 'Focus on collection this fall' and it's called Hillsport so I presumed that's what it must be.",I don't know,"There were quite a few colours going on.  There was a snow leopard pictured on a bright blue background and although it was called Hillsport and in another box it said 'focus on collection this fall' I didn't see any pictures of clothes, so quite confusing.  The pictures seemed to be in framed boxes,",3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,False
189,38,4,2s,240.0,Weathery,It provides weather forecasts.,I don't remember.,"The colours were light, light blue and yellow, which was appropriate with it being a weather page. It gave the weather forecast, but I can't quite remember if it was a map or just the temperatures.  The page had quite a lot on it so hard to remember what was there.",3.0,5.0,5.0,4.0,6.0,3.0,3.0,4.0,3.0,3.0,False
190,38,5,2s,250.0,Mega Zoo,Pet products,I don't know.,"It was quite busy, and hard to take in a lot as there was a lot going on.  The colours were dark which gave it a miserable/dingy feel. There were items for animals on the page but I can't tell you individually what they were, I think there may have been an item to feed birds with.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
191,38,6,2s,299.0,Tech Live,"Advice on technology, difficult to tell as there were all sorts of pictures, a women with her hand to her head and a picture of some money,  So thought it must be given insights into tech rather than selling something.",I don't know.,"Very confusing, dark colours, lots of different pictures, difficult to know what they were selling or advising on, saw a picture of some money, and a picture of a women who seemed upset.  Looked boring and something someone would just switch off from because its so confusing.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
192,39,1,2s,240.0,Whistles,Clothing for kids primarily ,Cartoon figure,I reasonable fashion retail outlet selling childrens clothing modelled by children ages approximately 11 or 12,4.0,4.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,False
193,39,2,2s,201.0,vacation,holiday ideas,I did not see any children,I saw an enticing page of relaxed holiday makers good looking 20 somethings and anyone looking at the page would want to be there too,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,False
194,39,3,2s,253.0,dynafit,Dynafit would be your travel company of choice for an exciting safari adventure,Cheetah,A travel company  ready to organise a holiday of a lifetime in Africa,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,False
195,39,4,2s,232.0,weather office,weather updates,wednesday,In 2 seconds all I managed to see was different pics of weather and the temperatures,4.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,False
196,39,5,2s,213.0,mega zoo,A convenient takeaway for city dwellers and office workers,food items,I recall seeing fastfood options shown in boxes from what seemed to be a takeaway food business,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,False
197,39,6,2s,176.0,did not see,not sure,a building,It looked like something to do with real estate,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,False
198,40,1,2s,319.0,don`t know,sustainable clothes,bird,it had pictures of clothes ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
199,40,2,2s,62.0,i-care,vacations,3,it sold vacations,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
200,40,3,2s,77.0,hillsport,hiking equipment,a hiker,it had pictures of hiking equipment,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
201,40,4,2s,79.0,weathery,it provides weather forecasts,don`t know,it had weather forecasts,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
202,40,5,2s,97.0,don`t know,lego and toys,don`t know,it had pictures of toys,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
203,40,6,2s,77.0,tech live,technology,don`t know,it had pictures of technology,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
204,41,1,2s,206.0,Sustainable fashion for everybody (or was it some small title in the top left corner in a blue circle,sustainable clothing,Dog?,An over informative site dealing with sustainable clothing,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,False
205,41,2,2s,267.0,Ready for Vacation,Holiday trips mainly for the younger adults. Very colourful and very upbeat,2 ?,This was an advert for a holiday company aimed at younger people say 25-38. Very upbeat and bright images showing people enjoying themselves,5.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,False
206,41,3,2s,176.0,Dynafit,a service product possible to do with the motor industry,2018?,A company offering a service for items in the industrial sector,5.0,4.0,6.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,False
207,41,4,2s,219.0,Weathery,weather reports from many different areas showing a lot of detail as to rain wind etc,all days,A very detailed page showing expected weather summaries,2.0,3.0,6.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,False
208,41,5,2s,177.0,Mega Zoo,Tickets for a zoo?,circle?,very bold in your face and attractive,3.0,6.0,4.0,6.0,3.0,4.0,6.0,6.0,3.0,7.0,False
209,41,6,2s,197.0,Tech Live,Different articles about modern technologies,A very large container,An information packed website dealing with a variety of tech articles aimed at the professional person,2.0,2.0,6.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,False
210,42,1,2s,93.0,Whistles,sustainable clothing,dont know,Children models in clothing,6.0,4.0,5.0,5.0,6.0,4.0,3.0,5.0,6.0,3.0,True
211,42,2,2s,73.0,Icare,Eye products,3,they had a campaign to get something done before summer holidays. something regarding contact lenses,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,False
212,42,3,2s,94.0,Hill sport,outdoor gear,dont know,"There was a leapord face, people running on a mountain, category options for backpacks, foot gear and 2 others",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,False
213,42,4,2s,90.0,Weathery,Information on the weather,dont know,Large weather map with some specific locations listed on the right,6.0,4.0,5.0,4.0,6.0,3.0,3.0,4.0,7.0,4.0,False
214,42,5,2s,77.0,Mega Zoo,Pet related products,dont kn ow,some products shown on the page,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,False
215,42,6,2s,75.0,Tech Live,Technology news,Wind turbines,multiple articles regarding technology,3.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,6.0,4.0,False
216,43,1,2s,102.0,whistles,childrens clothes,not sure,a simply structered website that sold childrens clothes ,6.0,4.0,6.0,4.0,3.0,3.0,4.0,5.0,6.0,4.0,False
217,43,2,2s,104.0,i care,care for people?,2?,a blue themed website and a couple pictured on the screen,6.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,6.0,3.0,False
218,43,3,2s,140.0,hillsport,not sure,"not sure, just saw the tiger",a website called hillsport that had a big picture of a tiger on the front.,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,False
219,43,4,2s,120.0,weathery,it provides weather updates,not sure,a weather forecast that shows its rainy and a quation in a yellow box that asks is it rainy,6.0,6.0,7.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,False
220,43,5,2s,120.0,mega zoo,i think it provides pet food,a paw,a yellow logo that is called mega zoo and had items at the bottom for sale,4.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,False
221,43,6,2s,138.0,tech live,showed news ,only saw people on their phone,website called tech-live and images of people on their phones and the logo was black and red,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,False
222,45,1,2s,110.0,Whistles,Sustainable clothing for everyone - womens mens and childrens clothes. ,I dont know,"There were 3 main images - a man, a woman, and a child with different coloured pastel backgrounds which were tabs to go to menswear womenswear and children's clothes. It was quite a simple website with soothing pastel colours. ",6.0,6.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,4.0,False
223,45,2,2s,90.0,I care,Holidays and Vacations,2,"It was called I-care and sold cheap vacations. The main image had a man wearing sunglasses, and the main colour used was sky blue. ",5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,False
224,45,3,2s,89.0,Hillsport,They sell backpacks and footwear and outdoor gear,I dont know,The main image was of a snow leopard and there were image tabs below for the product categories - footwear and backpacks and others. ,6.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,7.0,5.0,False
225,45,4,2s,70.0,Weathery,It provides weather reports,I don't know,"There was a main image with a weather report map and then a tab down the side with weather for different places, one of them was prague,",4.0,3.0,7.0,3.0,6.0,2.0,2.0,5.0,7.0,2.0,False
226,45,5,2s,119.0,Mega Zoo,I don't know,I don't know,The main colour used was yellow and the website was selling products. There was a little pot plant in an image that I saw. ,3.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,False
227,45,6,2s,69.0,Tech Live,It reports on tech news,A power station,"There were tabs down each side, and a main section in the middle with news stories. One was about batteries. ",1.0,1.0,5.0,1.0,5.0,2.0,2.0,3.0,5.0,2.0,False
228,46,1,2s,84.0,Whistles,Clothing,don't know,clothing retailer for adults and children.,6.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,False
229,46,2,2s,98.0,Care,vacations?,2,I think it was for booking vacations?,6.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,False
230,46,3,2s,122.0,HillSport,Sports clothing,2021,had a large image of a snow leopard. looked nice,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,False
231,46,4,2s,92.0,Weather,weather predictions,didn't notice,it was a site to give weather predictions. it looked nice and simple.,6.0,5.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,False
232,46,5,2s,139.0,MegaZoo,Animal Products,Penguin,Site seems to sell products for animals. Was very colourful,5.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,3.0,False
233,46,6,2s,132.0,Tech Live,News,can't remember,looked like a site that showed articles about tech news.,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,False
234,47,1,2s,151.0,whistle,"clothes for men, women and children",not sure,"pictures of women, men and children wearing white or stripy clothes",7.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,False
235,47,2,2s,92.0,i care,Vacations,1 or 2,Family on the beach.,7.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,False
236,47,3,2s,111.0,hill spot,not sure,2022,saw a jaguar and word Collection,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,False
237,47,4,2s,120.0,Weathery,weather forecast,I dont know,I saw a weather infotmation ,7.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,False
238,47,5,2s,78.0,mega zoom,not sure,I didnt see,I am not sure what I saw ,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
239,47,6,2s,187.0,Tech live,something to do with tech,not sure,a lot of writting and picture of white vagon,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,False
240,50,1,2s,132.0,Whistles,"clothing for men, women and children",No idea. ,"There were three photos below labelled for mens, womens and childrens clothing, presumably links to those sections. The page was very simple and plain with a lot of empty space. There were pictures of models appearing casual and friendly in poses that highlighted their outfits. 
There were some small menus at the top of the page and possible a search bar. ",7.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,7.0,4.0,False
241,50,2,2s,118.0,iCare,"Sunglasses, possibly regular glasses too, and optical services",2?,"There was a ""book appointment"" button on the top right I think. There were pictures of models in sunglasses. The page was very blue and ""sunny"" feeling, as if relating to travel",5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,False
242,50,3,2s,140.0,Hillsport,Outdoor clothing and equipment I believe.,Don't know,There was a large picture of a tiger in the main screen on the left. There were four pictures at the bottom of the page labelled with shopping categories. Most of the web page was large clear images. There was a lot of red. ,5.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,True
243,50,4,2s,125.0,Weathery,Provides weather forecasting,Don't know,"The main part of the web page featured a representation of a map with weather information over it. on the right hand side there was a table with weather information, possibly for different days or areas. There was a lot of information packed into the space so it was difficult to know where to focus attention, although this is probably easier once familiar with the page. ",3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,False
244,50,5,2s,88.0,Mega Zoo,Pet/animal products. food/toys/enrichment?,Don't know,"There were photos for different sections including ""terrariums"". there was empty space in the top section around the webpage name.",3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,False
245,50,6,2s,108.0,Tech Live,news and information about technology,Don't know. Something with machinery?,"There were multiple sections each containing multiple articles - the centre main as well as at least one section on the left and, I think, two sections on the right. It was not immediately clear what the grouping of articles it was or what the different sections referred to. It felt similar to a newspaper page",2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,False
246,2,1,5s,45.0,whistles,sustainable clothes,dog,"pqale, bland not very inviting",6.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,False
247,2,2,5s,22.0,i care,vacations,2,bright colourful inviting,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,False
248,2,3,5s,42.0,hillstart,athletic gear,?,"big tiger, people running up hill, not too much information",3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,False
249,2,4,5s,39.0,weathery,the weather forecast,tuesday,"lots of information, not overly colourful",3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,False
250,2,5,5s,48.0,mega zoo,pet items,dog bones,"very busy, lots to look at, colourful",3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,False
251,2,6,5s,36.0,tech live,batteries,dessert,"too many words, couldnt concentrate",1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,False
252,3,1,5s,114.0,whistle,clothing for all ages and genders ,-,sleek website with big picture in the middle then panels of pictures at the bottom with categories ,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,False
253,3,2,5s,95.0,I-care,sunglasses or eye protection ,2,blue webpage  with picture in the middle of people at the beach ,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,False
254,3,3,5s,208.0,hillsport ,sportswear,-,"blueish website homepage,  with big cat on the big picture, ",6.0,5.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,False
255,3,4,5s,223.0,weathery ,the website shows  you the weather foecast,all days of the week,title and navigation bar at the top with big map picture with different locations with corresponding weather and more option on the  right,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,False
256,3,5,5s,100.0,megazoo,pet food,dogbone?,yellow themed page with picture of dog and pet food.  ,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,False
257,3,6,5s,962.0,techlive,batteries or technology ,-,looked like there was alot information on the page with a title in bold writing that ,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,False
258,4,1,5s,64.0,whistles,clothing ,unsure ,"advetising clothing, for men women and children. great colours",4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,False
